"x"
"ecosystem services",1
"urbanization",2
"urban ecology",1
"biodiversity",2
"china",3
"land use change",3
"urban planning",1
"land use",3
"green infrastructure",1
"ecosystem service",3
"remote sensing",3
"climate change",3
"sustainability",2
"urbanisation",1
"sustainable development",1
"urban expansion",3
"land-use change",2
"landscape metrics",1
"gis",3
"invest model",3
"urban",2
"landscape pattern",3
"land cover",1
"conservation",4
"ecosystem service value",3
"urban sustainability",1
"land cover change",3
"trade-offs",1
"urban green space",1
