"doc","cluster","TC","contrib","year","title","pubname"
"lourenco ib, 2020, j clean prod","c1",1,0.0907162935020832,2020,"A framework to support flood prevention and mitigation in the landscape and urban planning process regarding water dynamics","Journal Of Cleaner Production"
"aguilera ma, 2020, j environ manage","c1",1,0.0411690246548423,2020,"Loss of coastal ecosystem spatial connectivity and services by urbanization: natural-to-urban integration for bay management","Journal Of Environmental Management"
"palme m, 2020, energ buildings","c1",0,0.64137781425391,2020,"The shading effects of green infrastructure in private residential areas: building performance simulation to support urban planning","Energy And Buildings"
"lai s, 2020, tema","c1",0,0.0651726413349458,2020,"Land surface temperature and land cover dynamics. a study related to sardinia, italy","Tema-Journal Of Land Use Mobility And Environment"
"wang hf, 2020, forests","c1",0,0.219832333322495,2020,"Urban green corridors analysis for a rapid urbanization city exemplified in gaoyou city, jiangsu","Forests"
"liu s, 2020, sustainability-basel","c1",0,0.300347209329319,2020,"Effect of urbanization on ecosystem service values in the beijing-tianjin-hebei urban agglomeration of china from 2000 to 2014","Sustainability"
"wu lf, 2020, forests","c1",0,0.213732480881776,2020,"How are green spaces distributed among different social groups in urban china? A national level study","Forests"
"le bivic c, 2020, land use policy","c1",0,0.279853502404475,2020,"Scheduling urbanization in rural municipalities: local practices in land-use planning on the fringes of the paris region","Land Use Policy"
"rusterholz hp, 2020, urban for urban gree","c1",0,0.27985350240447,2020,"Plant-mycorrhiza association in urban forests: effects of the degree of urbanisation and forest size on the performance of sycamore (acer pseudoplatanus) saplings","Urban Forestry & Urban Greening"
"li by, 2020, j arid environ","c1",0,0.0411690246548424,2020,"Identifying the relationships among multiple ecosystem services","Journal Of Arid Environments"
"afionis s, 2020, front env sci-switz","c1",0,0.0411690246548433,2020,"Lack of cross-sector and cross-level policy coherence and consistency limits urban green infrastructure implementation in malawi","Frontiers In Environmental Science"
"xia jy, 2020, sustainability-basel","c1",0,0.041169024654843,2020,"Integrating spatial valuation of ecosystem services into protected area management: a case study of the cangshan nature reserve in dali, china","Sustainability"
"li zz, 2020, int j env res pub he","c1",0,0.0411690246548405,2020,"Analyzing land-use change scenarios for ecosystem services and their trade-offs in the ecological conservation area in beijing, china","International Journal Of Environmental Research And Public Health"
"bareuther m, 2020, remote sens-basel","c1",0,0.0411690246548426,2020,"Spatio-temporal dynamics of algae and macrophyte cover in urban lakes: a remote sensing analysis of bellandur and varthur wetlands in bengaluru, india","Remote Sensing"
"liang jy, 2020, comput environ urban","c1",0,0.0417192791466379,2020,"Modeling urban growth sustainability in the cloud by augmenting google earth engine (gee)","Computers Environment And Urban Systems"
"barker ca, 2020, int j plant sci","c1",0,0.122322680065805,2020,"Pollination services toimpatiens capensis(balsaminaceae) are maintained across an urbanization gradient","International Journal Of Plant Sciences"
"song y, 2021, land degrad dev","c1",1,0.0417192791466384,2021,"Comparison of changes in vegetation and land cover types between shenzhen and bangkok","Land Degradation & Development"
"rosini c, 2020, environ manage","c1",0,0.0411690246548424,2020,"A scoring matrix method for integrated evaluation of water-related ecosystem services provided by urban parks","Environmental Management"
"admasu wf, 2020, land-basel","c1",0,0.0411690246548415,2020,"Uncovering ecosystem services of expropriated land: the case of urban expansion in bahir dar, northwest ethiopia","Land"
"zhou sy, 2020, ecol indic","c1",1,0.0417192791466388,2020,"An ecosystem-based analysis of urban sustainability by integrating ecosystem service bundles and socio-economic-environmental conditions in china","Ecological Indicators"
"qiao yl, 2020, j coastal res","c1",0,0.0411690246548425,2020,"Assessment of the impact of a sea reclamation project in an emerging port city in tianjin","Journal Of Coastal Research"
"alberti m, 2020, bioscience","c1",3,0.122322680065805,2020,"The complexity of urban eco-evolutionary dynamics","Bioscience"
"zuo qt, 2020, sustainability-basel","c1",0,0.0411690246548425,2020,"Spatiotemporal evolution of land-use and ecosystem services valuation in the belt and road initiative","Sustainability"
"zhang k, 2020, ecol indic","c1",0,0.0439438634156299,2020,"Development models matter to the mutual growth of ecosystem services and household incomes in developing rural neighborhoods","Ecological Indicators"
"gret-regamey a, 2020, environ res lett","c1",1,0.0411690246548425,2020,"How urban densification influences ecosystem services-a comparison between a temperate and a tropical city","Environmental Research Letters"
"wang hf, 2020, remote sens-basel","c1",1,0.60897096947804,2020,"An integrated approach to study spatial patterns and drivers of land cover within urban functional units: a multi-city comparative study in china","Remote Sensing"
"han r, 2020, sci total environ","c1",3,0.0411690246548425,2020,"Spatial heterogeneous relationship between ecosystem services and human disturbances: a case study in chuandong, china","Science Of The Total Environment"
"spyra m, 2020, land use policy","c1",5,0.0973481275899987,2020,"Governance of ecosystem services trade-offs in peri-urban landscapes","Land Use Policy"
