"","DE","AB"
"lourenco ib, 2020, j clean prod","sustainable urban drainage; open space system; mathematical modeling; flood risk; decision support; urban planning","the urbanization process heavily changes the natural landscape, increasing built areas and impervious rates, consequently aggravating floods and suffering from the co-related degradation. recent initiatives regarding sustainable drainage and river restoration seek a compromise solution between cities and nature. in this context, this research examines a possible analytical framework for urban planning and design of flood control alternatives, using a multifunctional open space system that incorporates water dynamics into current and future urban solutions. this framework starts with a diagnosis of the current situation, analyzing three main aspects: urban floods and their consequences; urban plans and legal environmental constraints; and available open spaces and multifunctional opportunities. then, a set of guidelines is proposed to articulate urban needs with environmental limits, intending to help in the design of urban flood control alternatives, while increasing environmental value and retrofitting urban vicinity. these guidelines include multi-scale solutions in the watershed context, using sustainable urban drainage concepts in multifunctional open spaces, which can also act as environmental connections and protective fluvial parks. next, the current situation is taken as reference and a hydrodynamic mathematical model is used to map the behavior of possible scenarios developed to represent future conditions driven by the proposed guidelines. this proposal is applied in an exploratory case study in the rio de janeiro metropolitan region to validate the proposed premises. the obtained results show that a multifunctional open space system, supported by an orderly and sustainable land use, was able to reduce significantly the water levels in the main river, diminishing flooded areas and responding in a more resilient and less risky way. (c) 2020 elsevier ltd. all rights reserved."
"cui xz, 2020, ecol model","carbon mitigation; land use change; policy making; carbon metabolism; flus model; guangzhou","a comprehensive understanding of the spatial carbon metabolism distribution is essential for future mitigation policies from a land-based perspective. this study develops a methodological framework for carbon metabolism measurement and future simulation. an assessment of carbon sequestration and emission is conducted based on land use components within the biosphere. carbon scenarios in accordance with the governmental mitigation policy were then established, and these were coupled with future multiple-type land use transitions to simulate the future spatial carbon distribution. this future carbon distribution map can help us understand the carbon dynamics in specific locations with possible land-based mitigation for policy making. guangzhou, which is a rapid urbanization metropolis in china, was taken as a case study to conduct the proposed methodological framework and models. the results revealed that high-density carbon emissions dominated in the city center and expanded in the east-west direction, while carbon sequestration diminished in the middle and southern areas, with a decreased total sequestration amount. the carbon distribution in the 2030 scenarios highlighted different mitigation implications for different locations in the north, south, and central areas. projections of emission reductions in northern outskirts and southern sub-center, as well as the projections of sequestration increases in the city center and northern mountainous area are then proposed to support mitigation. the established framework is proven to be effective for examining spatial carbon features at an urban scale, and the empirical findings can provide valuable insight into carbon mitigation strategies for rapid urbanization areas in developing countries."
"aguilera ma, 2020, j environ manage","spatial connectivity; built infrastructures; coastal ecosystems; urbanized bays; ecosystem services","urbanization has negative consequences for the integrity of ecosystems and services they provide, by reducing their extent and quality in both aquatic and terrestrial environments. few studies have explored how urban infrastructure expansion affects the spatial connectivity of coastal ecosystems by provoking their fragmentation and loss. here we explore changes in the spatial connectivity of coastal ecosystems due to urbanization, analyzing ecosystem extent and concatenation with urban infrastructures (shared perimeter) in four bays of the coquimbo region of northern chile (from 29 degrees s to 32 degrees s) as model systems. increase in natural-to-urban concatenation patterns were observed in most urbanized bays; sandy beaches and wetlands were the habitats most connected with urban infrastructures like roads and coastal artificial defenses. availability of ecosystem services is compromised by progressive loss of natural connectivity and poor governance structure, which seems to confer high vulnerability to urbanized bays with future urban expansion. complementary actions are proposed to reduce the vulnerability of coastal urban systems, considering 1) investment in nature-based infrastructures for coastal defenses, 2) restoration-rehabilitation of natural (remnant) urban ecosystems and eco-engineering of current artificial infrastructures, focusing on reestablishment of biodiversity patterns and habitat connectivity, and 3) limitation of coastal town and village expansion. management strategies can improve coastal adaptation to natural hazards, stabilizing changes in the natural-urban concatenation mosaic present in coastal urban systems like bays."
"palme m, 2020, energ buildings","green infrastructure; building performance simulation; urban planning; cooling loads","over the past decades, intense urbanization processes have produced built environments with a low energy efficiency and a severe lack of green spaces, which represent the main providers of ecosystem services in cities and play a relevant role in regulating the local microclimate. among the different natural processes involved in climate regulation, a fundamental role is played by the shading effects of urban vegetation on buildings and built environment. consequently, urban planning strategies aimed at designing a green infrastructure (gi) can have significant impacts on reducing the summer-time energy demand of cities while providing new green spaces for the local community. this is particularly relevant in high density settlements, where urban morphology types such as multi-storey apartment buildings represent an important percentage of the entire built environment. for these morphology types, the implementation of the gi depends on the different possibilities and limitation offered by private open spaces around residential buildings. despite its importance, the implementation of a gi from public administrations must often challenge the lack of economic resources to acquire and manage private land to be set as new urban green spaces. this article investigates the potential energy savings for multi-storey apartment buildings that can be achieved by shading effect of trees. particularly, building performance simulations are carried out considering different configurations of key parameters, such as trees species, distance to buildings, orientations of buildings and actual room of open spaces beside buildings where to plant new trees. the simulations are run for a real urban case study located in the metropolitan area of catania in southern italy, characterized by different types of urban morphologies. simulations of shading effect consider three species of trees and 41 different spatial configurations depending on actual availability of open spaces around buildings. results show that relevant energy savings can be obtained when the entire facades of buildings are shaded. the range of reduction of cooling loads of buildings varies between 2% and 50%, depending on the species and configurations: for half of considered 41 configurations 15% of average reduction is obtained. from an urban design point of view, results also suggest that the distance of trees from buildings and the actual availability of room for trees are key aspects to consider when designing where and how to plant new trees. not in all configurations simulated, planting trees can result in a significant reduction of cooling energy loads. findings of this work support urban planning for the choice of different scenarios and alternatives of gi to better balance public and private costs and generate wider benefits for the local communities. (c) 2020 elsevier b.v. all rights reserved."
"taylor l, 2020, front env sci-switz","greenspace; biodiversity; ecosystem services; environmental management; urban parks","urban parks may provide a range of ecosystem services, but community perspectives can influence the conservation of parks and their biodiversity. cultural ecosystem services, or the non-material benefits that people receive from nature, can prompt a park's use and motivate a management response from local government. our study aimed to explore why people visit urban parks, whether the tacit biodiversity of a park influenced visitation, and understand what park visitors notice, and how being in an urban park makes them feel. combining both human and more-than-human aspects, we carried out park surveys that comprised an ecological survey and short, three-question interview with park visitors. the park surveys were carried out in six parks each in melbourne and sydney, australia, and auckland and wellington, new zealand. while the biodiversity of species in parks differed significantly within and between cities, we found no consistent relationships between park biodiversity and the numbers of people in parks nor how being in the parks made participants feel. some park visitors did say that their reason for being in the park was to engage with nature, but other reasons were also listed, such as to meet friends or use specific park facilities, such as gym equipment or playgrounds. park visitors valued a diverse range of services and natural utilities, such as shade, from their visit. many interactions were also serendipitous for visitors due to the proximity of urban parks near residential areas, businesses and transport hubs, or as extensions of their homes. we conclude that although the use of parks was not directly tied to biodiversity per se, visitors considered them to be places where they can interact with nature in a range of ways."
"elliot t, 2020, j clean prod","logarithmic mean divisia index (lmdi); sustainability; urban metabolism; energy policy; life cycle assessment (lca); ecosystem services; global climate regulation (gcr); carbon sequestration","urbanisation and the associated growing climate change burdens pose risks to urban and global climate resilience. urban greenhouse gas emissions fluctuate over time in response to energy demand, which is influenced by government programmes, economic activity, and demographics. in this research, we investigate the influence of policy on urban energy demand and its consequences on mitigating climate change impacts. using a case study of lisbon, portugal from 2008 to 2016, we illustrate a combined use of an urban energy metabolism assessment coupled with a logarithmic mean divisia index to isolate the changes in energy-related carbon emissions associated with policy changes. we then link these energy flows to life cycle emissions factors to build a multi-level assessment between local and non-local global warming potential. we find that in 2016 lisbon's energy flows generated more than 2 mt of co2-equivalent emissions over their life cycles, 48% of which were direct emissions within the city. this corresponds to a decrease of around 37% in greenhouse gas emissions from 2008. additionally, we estimate the potential of lisbon's urban forests to sequester these emissions to understand the potential for climate change mitigation. results show that lisbon's urban forest can meet less than 1% of the emissions throughout the assessment period. we discuss the changes, concluding that urban forests are insufficient in size to meet the sequestration demands of the urban energy metabolism, and therefore the focus must be more attuned to reducing fossil fuel use in the urban trade and transport activities. (c) 2020 elsevier ltd. all rights reserved."
"teitelbaum cs, 2020, mov ecol","american white ibis (eudocimus albus); connectivity; habitat specialization; network; nomadism; urbanization; wildlife","background mobile animals transport nutrients and propagules across habitats, and are crucial for the functioning of food webs and for ecosystem services. human activities such as urbanization can alter animal movement behavior, including site fidelity and resource use. because many urban areas are adjacent to natural sites, mobile animals might connect natural and urban habitats. more generally, understanding animal movement patterns in urban areas can help predict how urban expansion will affect the roles of highly mobile animals in ecological processes. methods here, we examined movements by a seasonally nomadic wading bird, the american white ibis (eudocimus albus), in south florida, usa. white ibis are colonial wading birds that forage on aquatic prey; in recent years, some ibis have shifted their behavior to forage in urban parks, where they are fed by people. we used a spatial network approach to investigate how individual movement patterns influence connectivity between urban and non-urban sites. we built a network of habitat connectivity using gps tracking data from ibis during their non-breeding season and compared this network to simulated networks that assumed individuals moved indiscriminately with respect to habitat type. results we found that the observed network was less connected than the simulated networks, that urban-urban and natural-natural connections were strong, and that individuals using urban sites had the least-variable habitat use. importantly, the few ibis that used both urban and natural habitats contributed the most to connectivity. conclusions habitat specialization in urban-acclimated wildlife could reduce the exchange of propagules and nutrients between urban and natural areas, which has consequences both for beneficial effects of connectivity such as gene flow and for detrimental effects such as the spread of contaminants or pathogens."
"archana a, 2020, front mar sci","urban; marine; ecosystem; multifunctionality; coral; eutrophication; coastal","coastal marine ecosystems provide numerous invaluable services and benefits to humankind. however, urbanization of coastal areas has homogenized and reduced the biodiversity of the surrounding marine environment and the sustainability of the multiple ecosystem services it provides. studies have focused on single ecosystem functions despite human populations relying on several functions being delivered at once (known as multifunctionality). this study investigates five ecosystem functions (primary productivity, herbivory, predation, organic matter decomposition and carbon sequestration) and overall multifunctionality in four sites along a gradient of 16 environmental parameters. ecosystem function varied significantly between sites that were farthest apart. in determining factors that drove ecosystem functioning, we found a positive relationship between coral cover and primary productivity but negative relationships between coral cover and levels of herbivory and predation intensity. higher temperatures and greater concentrations of chlorophyll-a had a positive impact on predation and herbivory, respectively. notably, we found a significant negative impact of total inorganic nitrogen and significant positive impact of total kjeldahl nitrogen on carbon sequestration. further, individual functions were compared with fish abundance (obtained from seawater edna), and benthic community composition (obtained from plate % coverage of autonomous reef monitoring structures). increasing herbivorous fish abundance had a positive impact on ulva mass loss. overall, relative abundance of predatory, omnivorous and planktivorous fish exerted overriding influences on primary productivity and predation intensity, implying that fishing pressure and marine protected area status are important factors. importantly, we found significant effects from environmental parameters indicating that reliably predicting the effects of future anthropogenic impacts will not be straightforward as multiple drivers are likely to have complex effects. taken together, urbanized coastal ecosystems exhibit varying levels of multifunctionality depending on the extent of human impact, and the functional diversity of the benthic community present."
"lapointe m, 2020, ecol soc","coastal communities; disaggregation; rural areas; solomon islands; urbanization","access mechanisms can determine the benefits that people derive from a given ecosystem service supply. however, compared to ecosystem service availability, access has received little research attention. the relative importance of availability compared to access in limiting ecosystem service benefits is even less well understood. in cities, the observed disconnect between people and nature might result in part from changes in ecosystem service availability and access compared to rural areas. to address these research gaps, we compared perceived limitations to ecosystem service well-being benefits in urban and rural areas in the solomon islands. we predicted that more people would report being limited in ecosystem service benefits in urban than rural areas. drawing on data from 200 respondents, we found that more urban dwellers reported being limited in both availability and access to the benefits that they derived from ecosystem services. availability factors were the most frequently perceived limitations, although access played an important role for both provisioning and cultural services. in urban areas, poorer people, women, and older people identified the most limitations. findings show the importance of investigating both ecosystem service availability and access to manage the environment in a way that sustains or increases benefits to people."
"de la fuente b, 2020, glob ecol conserv","protected areas; built-up areas; biodiversity conservation; human pressure; human settlements; urbanization","protected areas (pas) are a key strategy in global efforts to conserve biodiversity and ecosystem services that are critical for human well-being. most pas have some built-up structures within their boundaries or in surrounding areas, ranging from individual buildings to villages, towns and cities. these structures, and the associated human activities, can exert direct and indirect pressures on pas. here we present the first global analysis of current patterns and observed long-term trends in built-up areas within terrestrial pas and their immediate surroundings. we calculate for each pa larger than 5 km(2) and for its 10-km unprotected buffer zone the percentage of land area covered by built-up areas in 1975, 1990, 2000 and 2014. we find that globally built-up areas cover only 0.12% of pa extent and a much higher 2.71% of the unprotected buffers as of 2014, compared to 0.6% of all land (protected or unprotected). built-up extent in and around pas is highest in europe and asia, and lowest in africa and oceania. built-up area percentage is higher in coastal and small pas, and lower in older pas and in pas with stricter management categories. from 1975 to 2014, the increase in built-up area was 23 times larger in the 10-km unprotected buffers than within pas. our findings show that the development of built-up structures remains limited within the boundaries of pas but highlight the need to carefully manage the considerable pressure that pas face from their immediate surroundings. (c) 2020 the authors. published by elsevier b.v."
